wl,n
3.8842e+01,4.2660e+00
3.9121e+01,4.3484e+00
3.9403e+01,4.4273e+00
3.9687e+01,4.4996e+00
3.9973e+01,4.5630e+00
4.0261e+01,4.6159e+00
4.0551e+01,4.6578e+00
4.0843e+01,4.6886e+00
4.1137e+01,4.7091e+00
4.1433e+01,4.7203e+00
4.1732e+01,4.7236e+00
4.2032e+01,4.7201e+00
4.2335e+01,4.7112e+00
4.2640e+01,4.6980e+00
4.2947e+01,4.6815e+00
4.3257e+01,4.6625e+00
4.3568e+01,4.6416e+00
4.3882e+01,4.6196e+00
4.4198e+01,4.5967e+00
4.4516e+01,4.5735e+00
4.4837e+01,4.5500e+00
4.5160e+01,4.5267e+00
4.5485e+01,4.5036e+00
4.5813e+01,4.4809e+00
4.6143e+01,4.4587e+00
4.6475e+01,4.4370e+00
4.6810e+01,4.4159e+00
4.7147e+01,4.3954e+00
4.7487e+01,4.3755e+00
4.7829e+01,4.3562e+00
4.8174e+01,4.3377e+00
4.8521e+01,4.3197e+00
4.8870e+01,4.3024e+00
4.9222e+01,4.2857e+00
4.9577e+01,4.2696e+00
4.9934e+01,4.2541e+00
5.0293e+01,4.2392e+00
5.0656e+01,4.2248e+00
5.1021e+01,4.2110e+00
5.1388e+01,4.1977e+00
5.1758e+01,4.1850e+00
5.2131e+01,4.1727e+00
5.2506e+01,4.1608e+00
5.2885e+01,4.1495e+00
5.3266e+01,4.1385e+00
5.3649e+01,4.1280e+00
5.4036e+01,4.1179e+00
5.4425e+01,4.1082e+00
5.4817e+01,4.0988e+00
5.5212e+01,4.0899e+00
5.5610e+01,4.0812e+00
5.6010e+01,4.0729e+00
5.6414e+01,4.0649e+00
5.6820e+01,4.0572e+00
5.7229e+01,4.0499e+00
5.7641e+01,4.0428e+00
5.8057e+01,4.0359e+00
5.8475e+01,4.0293e+00
5.8896e+01,4.0230e+00
5.9320e+01,4.0169e+00
5.9748e+01,4.0111e+00
6.0178e+01,4.0054e+00
6.0611e+01,4.0000e+00
6.1048e+01,3.9948e+00
6.1488e+01,3.9897e+00
6.1931e+01,3.9849e+00
6.2377e+01,3.9802e+00
6.2826e+01,3.9757e+00
6.3279e+01,3.9714e+00
6.3734e+01,3.9672e+00
6.4193e+01,3.9631e+00
6.4656e+01,3.9592e+00
6.5122e+01,3.9554e+00
6.5591e+01,3.9518e+00
6.6063e+01,3.9483e+00
6.6539e+01,3.9449e+00
6.7018e+01,3.9416e+00
6.7501e+01,3.9384e+00
6.7987e+01,3.9353e+00
6.8477e+01,3.9324e+00
6.8970e+01,3.9295e+00
6.9467e+01,3.9267e+00
6.9967e+01,3.9240e+00
7.0471e+01,3.9213e+00
7.0979e+01,3.9188e+00
7.1490e+01,3.9163e+00
7.2005e+01,3.9139e+00
7.2524e+01,3.9115e+00
7.3046e+01,3.9093e+00
7.3572e+01,3.9070e+00
7.4102e+01,3.9049e+00
7.4636e+01,3.9028e+00
7.5174e+01,3.9007e+00
7.5715e+01,3.8987e+00
7.6261e+01,3.8968e+00
7.6810e+01,3.8949e+00
7.7363e+01,3.8930e+00
7.7920e+01,3.8912e+00
7.8482e+01,3.8894e+00
7.9047e+01,3.8877e+00
7.9616e+01,3.8860e+00
8.0190e+01,3.8843e+00
8.0768e+01,3.8827e+00
8.1349e+01,3.8811e+00
8.1935e+01,3.8795e+00
8.2525e+01,3.8779e+00
8.3120e+01,3.8764e+00
8.3719e+01,3.8750e+00
8.4322e+01,3.8735e+00
8.4929e+01,3.8721e+00
8.5541e+01,3.8707e+00
8.6157e+01,3.8693e+00
8.6778e+01,3.8679e+00
8.7403e+01,3.8666e+00
8.8032e+01,3.8653e+00
8.8666e+01,3.8640e+00
8.9305e+01,3.8627e+00
8.9948e+01,3.8615e+00
9.0596e+01,3.8602e+00
9.1249e+01,3.8590e+00
9.1906e+01,3.8578e+00
9.2568e+01,3.8566e+00
9.3235e+01,3.8555e+00
9.3906e+01,3.8543e+00
9.4583e+01,3.8532e+00
9.5264e+01,3.8521e+00
9.5950e+01,3.8510e+00
9.6641e+01,3.8499e+00
9.7338e+01,3.8488e+00
9.8039e+01,3.8477e+00
9.8745e+01,3.8467e+00
9.9456e+01,3.8457e+00
1.0017e+02,3.8446e+00
1.0089e+02,3.8436e+00
1.0162e+02,3.8426e+00
1.0235e+02,3.8417e+00
1.0309e+02,3.8407e+00
1.0383e+02,3.8397e+00
1.0458e+02,3.8388e+00
1.0533e+02,3.8379e+00
1.0609e+02,3.8369e+00
1.0686e+02,3.8360e+00
1.0763e+02,3.8351e+00
